NOTE: column apple-m4 hashed tokenizer at an older lane revision (LANE_REVISIONS); its 9 cell(s) there are not compared and read as absent
NOTE: column nvidia-h100-sm_90a hashed tokenizer at an older lane revision (LANE_REVISIONS); its 9 cell(s) there are not compared and read as absent
NOTE: column amd-mi325x-gfx942 hashed tokenizer at an older lane revision (LANE_REVISIONS); its 9 cell(s) there are not compared and read as absent
NOTE: --lanes scopes this diff to 7 lane(s); 165 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9654-96-core-processor is a CPU column: cpu_model='AMD EPYC 9654 96-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_forest_host', '_mojolearn_gp_host', '_mojolearn_mixture_host', '_mojolearn_preprocessing_host', '_mojolearn_tokenizer_host'] commit=11c5f2192579b8aceada93096fdfcae37a2726a7
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9654-96-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| gbdt-categorical-ctr-tables/base | OWED x1    | (not run)        | (not run)        | (not run)        | 9aef0c9ccfa6907c |
| gbdt-categorical-ctr-tables/denormal | OWED x1    | (not run)        | (not run)        | (not run)        | 9aef0c9ccfa6907c |
| gbdt-categorical-ctr-tables/denormal_ftz | OWED x1    | (not run)        | (not run)        | (not run)        | 9aef0c9ccfa6907c |
| gbdt-categorical-ctr-tables/dupes | OWED x1    | (not run)        | (not run)        | (not run)        | 25b392f853af49bc |
| gbdt-categorical-ctr-tables/hashed | OWED x1    | (not run)        | (not run)        | (not run)        | 3dfceb762e69749f |
| gbdt-categorical-ctr-tables/negative | OWED x1    | (not run)        | (not run)        | (not run)        | 1bc75b82705d1b39 |
| gbdt-categorical-ctr-tables/odd | OWED x1    | (not run)        | (not run)        | (not run)        | 2b3fac1172a1b684 |
| gbdt-categorical-ctr-tables/ties | OWED x1    | (not run)        | (not run)        | (not run)        | 24ff7d7c24861171 |
| gbdt-categorical-ctr-tables/wide | OWED x1    | (not run)        | (not run)        | (not run)        | 852e96ce7e62df7c |
| gbdt-tensor-ctr-tables/base  | OWED x1    | (not run)        | (not run)        | (not run)        | 7cc167fbb56c972e |
| gbdt-tensor-ctr-tables/denormal | OWED x1    | (not run)        | (not run)        | (not run)        | 1489a9f5968cb79d |
| gbdt-tensor-ctr-tables/denormal_ftz | OWED x1    | (not run)        | (not run)        | (not run)        | 1489a9f5968cb79d |
| gbdt-tensor-ctr-tables/dupes | OWED x1    | (not run)        | (not run)        | (not run)        | a972ee33b2bbafec |
| gbdt-tensor-ctr-tables/hashed | OWED x1    | (not run)        | (not run)        | (not run)        | 1da6ad28d961ad35 |
| gbdt-tensor-ctr-tables/negative | OWED x1    | (not run)        | (not run)        | (not run)        | 0619163e8b8f3fc5 |
| gbdt-tensor-ctr-tables/odd   | OWED x1    | (not run)        | (not run)        | (not run)        | 7377ac4d24ab4fc7 |
| gbdt-tensor-ctr-tables/ties  | OWED x1    | (not run)        | (not run)        | (not run)        | a57c449ae1a19b4e |
| gbdt-tensor-ctr-tables/wide  | OWED x1    | (not run)        | (not run)        | (not run)        | 89d3d2eb687d4002 |
| gmm-random-init-sample/base  | OWED x1    | (not run)        | (not run)        | (not run)        | e8402fa2c29319b0 |
| gmm-random-init-sample/denormal | OWED x1    | (not run)        | (not run)        | (not run)        | 53c4c0b31627c1f7 |
| gmm-random-init-sample/denormal_ftz | OWED x1    | (not run)        | (not run)        | (not run)        | 53c4c0b31627c1f7 |
| gmm-random-init-sample/dupes | OWED x1    | (not run)        | (not run)        | (not run)        | e8402fa2c29319b0 |
| gmm-random-init-sample/hashed | OWED x1    | (not run)        | (not run)        | (not run)        | 1bbe32185de06c3e |
| gmm-random-init-sample/negative | OWED x1    | (not run)        | (not run)        | (not run)        | d97bf04817203928 |
| gmm-random-init-sample/odd   | OWED x1    | (not run)        | (not run)        | (not run)        | 71ed1c1caf8e6874 |
| gmm-random-init-sample/ties  | OWED x1    | (not run)        | (not run)        | (not run)        | 101197bb7831587c |
| gmm-random-init-sample/wide  | OWED x1    | (not run)        | (not run)        | (not run)        | ff8d9198a4228ebd |
| gmm-sample/base              | OWED x1    | (not run)        | (not run)        | (not run)        | 2995412dbe6ede62 |
| gmm-sample/denormal          | OWED x1    | (not run)        | (not run)        | (not run)        | b0719a23f1750cd0 |
| gmm-sample/denormal_ftz      | OWED x1    | (not run)        | (not run)        | (not run)        | b0719a23f1750cd0 |
| gmm-sample/dupes             | OWED x1    | (not run)        | (not run)        | (not run)        | 2995412dbe6ede62 |
| gmm-sample/hashed            | OWED x1    | (not run)        | (not run)        | (not run)        | c6652f13c1885399 |
| gmm-sample/negative          | OWED x1    | (not run)        | (not run)        | (not run)        | eff16f2b59cea1fe |
| gmm-sample/odd               | OWED x1    | (not run)        | (not run)        | (not run)        | 2a8e73e4b6764522 |
| gmm-sample/ties              | OWED x1    | (not run)        | (not run)        | (not run)        | 4f5c80e0a98f2fb7 |
| gmm-sample/wide              | OWED x1    | (not run)        | (not run)        | (not run)        | 0473d696da7318bd |
| gp-sample-y-normalize/base   | OWED x1    | (not run)        | (not run)        | (not run)        | b5ad01b81c59fdf3 |
| gp-sample-y-normalize/denormal | OWED x1    | (not run)        | (not run)        | (not run)        | 33512fcfac39fb55 |
| gp-sample-y-normalize/denormal_ftz | OWED x1    | (not run)        | (not run)        | (not run)        | 33512fcfac39fb55 |
| gp-sample-y-normalize/dupes  | OWED x1    | (not run)        | (not run)        | (not run)        | 78ae9a8195ece8f9 |
| gp-sample-y-normalize/hashed | OWED x1    | (not run)        | (not run)        | (not run)        | 455f431e3dcb0773 |
| gp-sample-y-normalize/negative | OWED x1    | (not run)        | (not run)        | (not run)        | 0644e14fb6f52191 |
| gp-sample-y-normalize/odd    | OWED x1    | (not run)        | (not run)        | (not run)        | b4dd92087d7a5b3a |
| gp-sample-y-normalize/ties   | OWED x1    | (not run)        | (not run)        | (not run)        | 43811dbad15ad2f0 |
| gp-sample-y-normalize/wide   | OWED x1    | (not run)        | (not run)        | (not run)        | c11bb0e6d158bfe3 |
| gp-sample-y/base             | OWED x1    | (not run)        | (not run)        | (not run)        | d698872d7e33df6e |
| gp-sample-y/denormal         | OWED x1    | (not run)        | (not run)        | (not run)        | 37e844812b3bd076 |
| gp-sample-y/denormal_ftz     | OWED x1    | (not run)        | (not run)        | (not run)        | 37e844812b3bd076 |
| gp-sample-y/dupes            | OWED x1    | (not run)        | (not run)        | (not run)        | 05aaa44e678259a6 |
| gp-sample-y/hashed           | OWED x1    | (not run)        | (not run)        | (not run)        | 1f0e45838e5c52d2 |
| gp-sample-y/negative         | OWED x1    | (not run)        | (not run)        | (not run)        | 55e0efee90db4801 |
| gp-sample-y/odd              | OWED x1    | (not run)        | (not run)        | (not run)        | 23fab759980d7acc |
| gp-sample-y/ties             | OWED x1    | (not run)        | (not run)        | (not run)        | 15f827dc671917f0 |
| gp-sample-y/wide             | OWED x1    | (not run)        | (not run)        | (not run)        | ce0c19926bcf9dbf |
| tokenizer/base               | OWED x1    | (not run)        | (not run)        | (not run)        | 08b10bbc6f4b565b |
| tokenizer/denormal           | OWED x1    | (not run)        | (not run)        | (not run)        | c55a5605e8de64b8 |
| tokenizer/denormal_ftz       | OWED x1    | (not run)        | (not run)        | (not run)        | 8b9f4a27b574806e |
| tokenizer/dupes              | OWED x1    | (not run)        | (not run)        | (not run)        | 46adf25a7982a9a6 |
| tokenizer/hashed             | OWED x1    | (not run)        | (not run)        | (not run)        | e61f50aae6c6dbd9 |
| tokenizer/negative           | OWED x1    | (not run)        | (not run)        | (not run)        | cd7e602ad066e3d5 |
| tokenizer/odd                | OWED x1    | (not run)        | (not run)        | (not run)        | 08b10bbc6f4b565b |
| tokenizer/ties               | OWED x1    | (not run)        | (not run)        | (not run)        | 94eb3bf4446a414a |
| tokenizer/wide               | OWED x1    | (not run)        | (not run)        | (not run)        | 30fd2b8c5fdcf9e1 |

summary: OWED=63

| lane/fixture                 | column | verdict      | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9654-96-core-processor |
OWED gmm-random-init-sample/denormal_ftz train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/dupes train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/hashed train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/negative train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/odd train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/ties train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/wide train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/base train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/denormal train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/denormal_ftz train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/dupes train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/hashed train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/negative train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/odd train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/ties train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/wide train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/base train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/denormal train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/denormal_ftz train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/dupes train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/hashed train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/negative train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/odd train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/ties train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y-normalize/wide train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/base train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/denormal train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/denormal_ftz train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/dupes train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/hashed train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/negative train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/odd train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/ties train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gp-sample-y/wide train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/base train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/denormal train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/denormal_ftz train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/dupes train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/hashed train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/negative train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/odd train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/ties train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED tokenizer/wide train: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/base infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/base batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/denormal infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/denormal batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/denormal_ftz infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/denormal_ftz batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/dupes infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/dupes batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/hashed infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/hashed batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/negative infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/negative batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/odd infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/odd batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/ties infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/ties batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/wide infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-categorical-ctr-tables/wide batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/base infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/base batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/denormal infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/denormal batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/denormal_ftz infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/denormal_ftz batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/dupes infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/dupes batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/hashed infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/hashed batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/negative infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/negative batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/odd infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/odd batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/ties infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/ties batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/wide infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gbdt-tensor-ctr-tables/wide batch: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/base infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/base model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/denormal infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/denormal model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/denormal_ftz infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/denormal_ftz model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/dupes infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/dupes model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/hashed infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/hashed model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/negative infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/negative model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/odd infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/odd model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/ties infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/ties model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/wide infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-random-init-sample/wide model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/base infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/base model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/denormal infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/denormal model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/denormal_ftz infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/denormal_ftz model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/dupes infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/dupes model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/hashed infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/hashed model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/negative infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/negative model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/odd infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/odd model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/ties infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/ties model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/wide infer: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
OWED gmm-sample/wide model: no hash in apple-m4,nvidia-h100-sm_90a,amd-mi325x-gfx942; rests on 1 (cpu-amd-epyc-9654-96-core-processor)
