id,title,lanes,parts,candidate_cpu_status,native_control_fixture_gaps,nvidia_multi_gpu_inventory,amd_multi_gpu_inventory,pypi_0_8_5_new_verifier
appendix-235,recall score,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-236,f1 score,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-237,log loss,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-238,roc auc score,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-239,confusion matrix,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-240,precision recall curve,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-241,mean squared error,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-242,mean absolute error,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-243,root mean squared error,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-244,kl divergence,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-245,trustworthiness,metrics-classification,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-246,fowlkes mallows score,metrics-fowlkes-mallows,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
